src,tgt,mt,model_name,comet,bleurt,score
זה טוב שאנחנו לא בוגאס.,It's good we're not in Vegas.,It's good we're not in Vegas.,facebook/nllb-200-3.3b,0.9821244478225708,0.9769144058227539,0.9795194268226624
אני לא מטופל.,I am not a patient.,I'm not a patient.,facebook/nllb-200-3.3b,0.9005373120307922,0.8610212206840515,0.8807792663574219
אני חושב שזה יהרוג אותם.,I think it would kill them.,I think it'll kill them.,facebook/nllb-200-3.3b,0.9524220824241638,0.8666324615478516,0.9095272719860077
"קודם כל, לא לשכב עם ילדים.","Well, for one, no sex with boys.","First of all, no sleeping with children.",facebook/nllb-200-3.3b,0.7203688025474548,0.4192962646484375,0.5698325335979462
רוצה לעשות מירוץ?,Care for a race?,You want to race?,facebook/nllb-200-3.3b,0.8350703120231628,0.6843822002410889,0.7597262561321259
"ד""ר מאיירס.",Dr. Myers.,"Dr. Myers, I'm not sure.",facebook/nllb-200-3.3b,0.7063985466957092,0.5466755628585815,0.6265370547771454
"ההנהלה נתנה לנו לנעול נעלי התעמלות, עד שהחליטו שאין בזה מספיק מופקרות אלגנטית.","Management used to let us wear sneakers, till they decided that that was not upscale skank enough.",The board let us wear sneakers until they decided it wasn't elegant enough.,facebook/nllb-200-3.3b,0.8063310384750366,0.633607804775238,0.7199694216251373
לא סיפרתי לך שנהגתי ברכב עם בלם החירום מורם במשך שבוע.,I didn't tell you that I drove the car around with the emergency brake on for a week.,I didn't tell you I drove a car with the emergency brake on for a week.,facebook/nllb-200-3.3b,0.8831103444099426,0.7708688974380493,0.826989620923996
בוא איתי.,Come with me.,Come with me.,facebook/nllb-200-3.3b,0.9760528206825256,0.9789991974830627,0.9775260090827942
בשעות אחר הצהריים.,In the afternoon.,In the afternoon.,facebook/nllb-200-3.3b,0.96710604429245,0.9604339003562927,0.9637699723243713
אז תלכו שתיכם.,Then you're both gone.,Then you two go.,facebook/nllb-200-3.3b,0.694850742816925,0.6997926831245422,0.6973217129707336
אש!,Fire!,Fire! - What is it?,facebook/nllb-200-3.3b,0.7879108190536499,0.5957688689231873,0.6918398439884186
זו הסיבה שהם כל כך מפחדים מקיומו של האווטאר.,That's why they're so frightened by the existence of the Avatar.,That's why they're so afraid of the existence of the Avatar.,facebook/nllb-200-3.3b,0.9312517046928406,0.8474755883216858,0.8893636465072632
יש דברים שאני רוצה עבור הילדים האלה.,I have things I want for these kids.,There are things I want for these kids.,facebook/nllb-200-3.3b,0.9505547881126404,0.8359565734863281,0.8932556807994843
מעוניין לשתות קפה?,Want to grab some coffee?,You want to get a coffee?,facebook/nllb-200-3.3b,0.8916682004928589,0.7159420847892761,0.8038051426410675
