	src	mt	score
0	The Chlotrudis Award for Best Actress is an annual award presented by the Chlotrudis Society for Independent Films, a non-profit organization, founded in 1994, that recognizes achievements in independent and world cinema.	Der Chlotrudis Award für die beste Schauspielerin ist eine jährliche Auszeichnung der Chlotrudis Society for Independent Films, eine 1994 gegründete Non-Profit-Organisation, die Erfolge im unabhängigen und weltweiten Kino anerkennt.	-1.0
1	Samson Lawal (born 25 April 2004) is a Nigerian professional footballer who plays as a midfielder for Livingston.	Samson Lawal (* 25. April 2004 in Livingston) ist ein nigerianischer Fußballspieler.	-10.0
2	The album was dubbed the 6th best Brazilian album in 2018 by Rolling Stone Brasil and one of the 25 best Brazilian albums in the first half of 2018 by APCA.	Das Album wurde 2018 vom Rolling Stone Brasil zum sechsten besten brasilianischen Album und von APCA zu einem der 25 besten brasilianischen Albums in der ersten Hälfte 2018 ausgezeichnet.	-5.0
3	I went across the river and saw a friend of mine who kept a place where I had paid in a good many thousands of my hard-earned dollars.	Ich ging über den Fluss und sah einen Freund, der einen Ort hielt, wo ich in vielen Tausenden meiner hart verdienten Dollar bezahlt hatte.	-12.0
4	The inside of the dome is decorated with Qu'ranic verses that revolve around its neck while the outside of the dome is decorated with blue and green faience.	Das Innere der Kuppel ist mit Qu'ranic Versen geschmückt, die sich um seinen Hals drehen, während die Außenseite der Kuppel mit blauem und grünem Faenz dekoriert ist.	-18.0
5	Waldemar Rodrigues da Paixão (February 22, 1916 - 1990), better known as Mestre Waldemar (Valdemar, Waldemar da Liberdade, Waldemar do Pero Vaz), was a Bahian capoeira mestre.	Waldemar Rodrigues da Paixão (22. Februar 1916 - 1990), besser bekannt als Mestre Waldemar (Valdemar, Waldemar da Liberdade, Waldemar do Pero Vaz), war ein Bahreinischer Capoeira-Mester.	-11.0
6	This line is scheduled to be completed by 2030 and will be operated by the Dhaka Mass Transit Company Limited (DMTCL).	Diese Linie soll bis 2030 fertiggestellt werden und wird von der Dhaka Mass Transit Company Limited (DMTCL) betrieben.	-2.0
7	"Battle Picture Weekly co-creator Pat Mills worked with freelance writer Gerry Finley-Day on ""D-Day Dawson"" for the launch issue of the new IPC Magazines title through 1974."	"Battle Picture Weekly Co-Creator Pat Mills arbeitete mit freiberuflichen Schriftsteller Gerry Finley-Day auf ""D-Day Dawson"" für die Veröffentlichung der neuen IPC Magazines Titel bis 1974."	-25.0
8	At the ambush at Shala bridge, forces were strategically deployed on both flanks of the road, complemented by engineering efforts such as road demolition and the placement of obstructions.	Bei der Anschlagung auf die Shala-Brücke wurden die Streitkräfte strategisch auf beiden Seiten der Straße eingesetzt, ergänzt durch technische Anstrengungen wie die Straßendemolition und die Platzierung von Hindernissen.	-9.0
9	On 1 April 2022, Theophilus was promoted to flag rank and appointed Deputy Commandant (DepCom) of the Indian Naval Academy, Ezhimala.	Am 1. April 2022 wurde Theophilus zum Flaggengrad befördert und zum stellvertretenden Kommandanten (DepCom) der Indian Naval Academy, Ezhimala, ernannt.	-11.0
