	src	mt	score
0	Badelic was first called up to the Philippine senior team in a September training camp that culminated in a friendly 2–0 win over the Maldives and a qualifier against Uzbekistan.	巴德利克首次被邀请到菲律宾高级队伍,在9月的训练营中,这是一个友好的2-0胜利,对阵马尔代夫和对阵乌兹别克斯坦的资格。	-25.0
1	The fossil specimen of the peculiar animal, Cuvier observed, contained nine teeth leading from the last three-pointed molar to the lateral incisors.	奇怪的动物的化石样本,库维尔观察到,含有九颗牙齿,从最后一个三点的分子到侧切。	-7.0
2	The 1895 Scottish Athletics Championships were the thirteenth national athletics championships to be held in Scotland.	1895年蘇格蘭田徑錦標賽是蘇格蘭第13屆全國田徑錦標賽。	0.0
3	SIIMA Award for Best Male Debut – Kannada is presented by Vibri media group as part of its annual South Indian International Movie Awards, for the best acting done by a male actor in a leading role in his debut Kannada film.	SIIMA最佳男配角奖(英语:SIIMA Award for Best Male Debut – Kannada)是由Vibri媒体集团颁发的年度南非国际电影奖。	-25.0
4	The 2023 Boston City Council election will be held on November 7, 2023, with primaries occurring on September 12, 2023.	2023年波士顿市议会选举将于2023年11月7日举行,初选将于2023年9月12日举行。	0.0
5	38-42: Krishna concludes the chapter by encouraging Arjuna to rise above doubts and practice the teachings he has received.	38-42: 克里什纳结束章节,鼓励阿 Arjuna 超越疑虑并实践他所接受的教训。	-16.0
6	In partnership with N M Rothschild & Sons of England, it owned the Chemin de Fer du Nord railway in France that ran from their major hub, the Gare du Nord in Paris, to the English Channel and Belgium.	与N M Rothschild & Sons of England合作,它拥有法国的Chemin de Fer du Nord铁路,从其主要中心,巴黎的Gare du Nord,到英国频道和比利时。	-21.0
7	When Johnny would end up taking his routine trip down to California after this incident, Watson would follow closely behind him – ultimately causing an intense verbal argument between both men.	当约翰尼在事件发生后结束了他的日常旅行到加利福尼亚州时,沃森将密切跟随他 - 最终导致两人之间激烈的口头争论。	-7.0
8	"As an actor, Sherman made appearances in television shows such as The Marvelous Mrs. Maisel"" and ""Orange Is the New Black""."	作为演员,谢尔曼在电视节目中表演,如《美丽的玛丽·梅塞尔》和《橙色是新黑色》。	-11.0
9	"MWF promotes itself as the home of ""Aksyonovela"" – a portmanteau of the Filipino word for ""action"" and the suffix of telenovela – representing the mix of athletic wrestling action and timely, relatable storytelling that the promotion presents."	MWF宣传自己是“Aksyonovela”的家园 - 菲律宾词“行动”和Telenovela的口号 - 代表运动斗争行动的混合物,以及促销所提供的及时、相似的故事。	-25.0
