experiment_name,lp,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
human-mdeberta-no-freeze-10epochs-0,en-de,0.24860849131816906,1411,0.9822436139458104,5.77,5.3,news,2022,no_reference
human-mdeberta-no-freeze-10epochs-0,en-es,0.20664064505636592,1418,0.9711439560127882,7.45,5.05,news,2022,no_reference
human-mdeberta-no-freeze-10epochs-0,en-zh,0.2797656982922952,1372,0.966653475876413,5.21,4.97,news,2022,no_reference
human-mdeberta-no-freeze-10epochs-1,en-de,0.24096031003788582,1411,0.9896243077830265,5.38,4.42,news,2022,no_reference
human-mdeberta-no-freeze-10epochs-1,en-es,0.1827108241730759,1418,0.9840741941427067,6.91,4.44,news,2022,no_reference
human-mdeberta-no-freeze-10epochs-1,en-zh,0.3013215567593533,1372,0.981496270004785,4.48,4.32,news,2022,no_reference
human-mdeberta-no-freeze-10epochs-2,en-de,0.2154602213707665,1411,0.985304961622807,5.66,4.86,news,2022,no_reference
human-mdeberta-no-freeze-10epochs-2,en-es,0.20760954735924145,1418,0.9807035000009651,7.22,4.63,news,2022,no_reference
human-mdeberta-no-freeze-10epochs-2,en-zh,0.2767759395721192,1372,0.9782100530865888,4.8,4.44,news,2022,no_reference
human-mdeberta-no-freeze-3epochs-0,en-de,0.25802186632158414,1411,0.9876245885982848,5.66,4.26,news,2022,no_reference
human-mdeberta-no-freeze-3epochs-0,en-es,0.2075208401164684,1418,0.9749392391291154,7.29,4.3,news,2022,no_reference
human-mdeberta-no-freeze-3epochs-0,en-zh,0.27970224905823343,1372,0.9684234077205542,4.82,4.51,news,2022,no_reference
human-mdeberta-no-freeze-3epochs-1,en-de,0.18262746774241764,1411,0.9975346387896622,5.5,4.38,news,2022,no_reference
human-mdeberta-no-freeze-3epochs-1,en-es,0.17434630165885204,1418,0.9922615948459185,6.99,4.36,news,2022,no_reference
human-mdeberta-no-freeze-3epochs-1,en-zh,0.28099742655013,1372,0.9864033984275443,4.71,4.24,news,2022,no_reference
human-mdeberta-no-freeze-3epochs-2,en-de,0.2398519877901457,1411,0.9753474808575814,5.34,4.36,news,2022,no_reference
human-mdeberta-no-freeze-3epochs-2,en-es,0.21718570081417504,1418,0.9678715221754467,6.89,4.33,news,2022,no_reference
human-mdeberta-no-freeze-3epochs-2,en-zh,0.28210834066967927,1372,0.9514025816827063,4.59,4.28,news,2022,no_reference
human-mdeberta-no-freeze-5epochs-0,en-de,0.24439071688161124,1411,0.981368975221065,5.48,4.37,news,2022,no_reference
human-mdeberta-no-freeze-5epochs-0,en-es,0.1999690006207082,1418,0.971549315404476,6.97,4.34,news,2022,no_reference
human-mdeberta-no-freeze-5epochs-0,en-zh,0.28727757881741817,1372,0.9628316917160685,4.64,4.56,news,2022,no_reference
human-mdeberta-no-freeze-5epochs-1,en-de,0.24315480507900925,1411,0.9848459328266612,5.39,5.3,news,2022,no_reference
human-mdeberta-no-freeze-5epochs-1,en-es,0.2274908695420956,1418,0.9775571849769958,6.82,5.06,news,2022,no_reference
human-mdeberta-no-freeze-5epochs-1,en-zh,0.2765558386526761,1372,0.9681188749096499,4.57,4.92,news,2022,no_reference
human-mdeberta-no-freeze-5epochs-2,en-de,0.20928339252483427,1411,0.9919954796004714,5.24,5.05,news,2022,no_reference
human-mdeberta-no-freeze-5epochs-2,en-es,0.17029500820806626,1418,0.9866620524498992,6.78,5.12,news,2022,no_reference
human-mdeberta-no-freeze-5epochs-2,en-zh,0.28812435324622193,1372,0.9787460019319454,4.46,4.71,news,2022,no_reference
human-mdeberta-no-freeze-highbs-0,en-de,0.2473204389088597,1411,0.9640273601130436,5.4,4.66,news,2022,no_reference
human-mdeberta-no-freeze-highbs-0,en-es,0.22662192331523587,1418,0.9443150613144153,6.97,4.53,news,2022,no_reference
human-mdeberta-no-freeze-highbs-0,en-zh,0.23981455664293921,1372,0.9329209540241449,4.67,4.57,news,2022,no_reference
human-mdeberta-no-freeze-highbs-1,en-de,0.24227471653487978,1411,0.9655389980684247,5.43,4.36,news,2022,no_reference
human-mdeberta-no-freeze-highbs-1,en-es,0.22315637651364892,1418,0.9475216011769639,6.94,4.43,news,2022,no_reference
human-mdeberta-no-freeze-highbs-1,en-zh,0.2502725943456336,1372,0.9298057728138184,4.68,4.23,news,2022,no_reference
human-mdeberta-no-freeze-highbs-2,en-de,0.2344813948871012,1411,0.9664907423655192,5.56,4.34,news,2022,no_reference
human-mdeberta-no-freeze-highbs-2,en-es,0.22469546469457125,1418,0.9387028804262176,7.12,4.44,news,2022,no_reference
human-mdeberta-no-freeze-highbs-2,en-zh,0.24387821952237687,1372,0.9239887043281838,4.8,4.29,news,2022,no_reference
