experiment_name,lp,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
human-mdeberta-no-freeze-10epochs-0,en-de,0.29012481941693863,1472,0.9866939261754354,35.57,4.68,news,2022,with_reference
human-mdeberta-no-freeze-10epochs-0,en-ru,0.30007611117792116,1504,0.9707483725845814,37.67,6.09,news,2022,with_reference
human-mdeberta-no-freeze-10epochs-0,zh-en,0.320482465050655,1786,0.9164690256826948,72.88,4.67,news,2022,with_reference
human-mdeberta-no-freeze-10epochs-1,en-de,0.2778154770016938,1472,0.9936498824490442,34.43,4.21,news,2022,with_reference
human-mdeberta-no-freeze-10epochs-1,en-ru,0.28778091043949383,1504,0.9799838678571913,35.27,4.63,news,2022,with_reference
human-mdeberta-no-freeze-10epochs-1,zh-en,0.3117879610784929,1786,0.9264588911069108,71.04,4.84,news,2022,with_reference
human-mdeberta-no-freeze-10epochs-2,en-de,0.2782182732482269,1472,0.9912834031052059,34.95,4.26,news,2022,with_reference
human-mdeberta-no-freeze-10epochs-2,en-ru,0.31178026701115996,1504,0.9802562413149409,36.08,4.93,news,2022,with_reference
human-mdeberta-no-freeze-10epochs-2,zh-en,0.31619671221497025,1786,0.9115161451530142,71.59,5.11,news,2022,with_reference
human-mdeberta-no-freeze-3epochs-0,en-de,0.30440455800912536,1472,0.9907821327580346,35.78,4.38,news,2022,with_reference
human-mdeberta-no-freeze-3epochs-0,en-ru,0.31026632237782625,1504,0.9667621887789832,36.96,4.29,news,2022,with_reference
human-mdeberta-no-freeze-3epochs-0,zh-en,0.3019961458944846,1786,0.9260293485465223,73.4,4.25,news,2022,with_reference
human-mdeberta-no-freeze-3epochs-1,en-de,0.29729235738533527,1472,0.9974869151380327,34.47,4.34,news,2022,with_reference
human-mdeberta-no-freeze-3epochs-1,en-ru,0.29578014087165033,1504,0.9862822767694791,35.64,4.49,news,2022,with_reference
human-mdeberta-no-freeze-3epochs-1,zh-en,0.2926158712006527,1786,0.9220956004846214,71.21,5.59,news,2022,with_reference
human-mdeberta-no-freeze-3epochs-2,en-de,0.31553877818803255,1472,0.980354761812422,34.32,4.24,news,2022,with_reference
human-mdeberta-no-freeze-3epochs-2,en-ru,0.3443313712680595,1504,0.9748302461107572,35.62,4.72,news,2022,with_reference
human-mdeberta-no-freeze-3epochs-2,zh-en,0.3088678593365403,1786,0.8955436217784881,70.2,4.26,news,2022,with_reference
human-mdeberta-no-freeze-5epochs-0,en-de,0.31093017566541126,1472,0.9859404699272579,34.38,4.21,news,2022,with_reference
human-mdeberta-no-freeze-5epochs-0,en-ru,0.3151398085219593,1504,0.9721050904923015,35.68,4.35,news,2022,with_reference
human-mdeberta-no-freeze-5epochs-0,zh-en,0.3133147071613187,1786,0.9293360134241211,70.68,4.28,news,2022,with_reference
human-mdeberta-no-freeze-5epochs-1,en-de,0.3098953285976644,1472,0.9855746293597751,30.72,4.88,news,2022,with_reference
human-mdeberta-no-freeze-5epochs-1,en-ru,0.3016523361510132,1504,0.9656876581973499,31.01,5.1,news,2022,with_reference
human-mdeberta-no-freeze-5epochs-1,zh-en,0.2900363371045156,1786,0.9073433211455644,56.48,4.92,news,2022,with_reference
human-mdeberta-no-freeze-5epochs-2,en-de,0.3280264900135026,1472,0.9937950500647227,30.98,4.98,news,2022,with_reference
human-mdeberta-no-freeze-5epochs-2,en-ru,0.30426941330434243,1504,0.9798077131642235,30.45,4.59,news,2022,with_reference
human-mdeberta-no-freeze-5epochs-2,zh-en,0.3086084181128919,1786,0.915394520346481,56.87,4.71,news,2022,with_reference
human-mdeberta-no-freeze-highbs-0,en-de,0.31691288618927627,1472,0.9689002415074243,34.19,4.46,news,2022,with_reference
human-mdeberta-no-freeze-highbs-0,en-ru,0.3458981200895612,1504,0.9350549588335885,35.32,4.52,news,2022,with_reference
human-mdeberta-no-freeze-highbs-0,zh-en,0.3117703499589077,1786,0.8953575309668437,70.66,4.29,news,2022,with_reference
human-mdeberta-no-freeze-highbs-1,en-de,0.310627861100773,1472,0.9740335245397356,34.2,4.26,news,2022,with_reference
human-mdeberta-no-freeze-highbs-1,en-ru,0.3343500179136551,1504,0.9070625449419022,36.09,4.42,news,2022,with_reference
human-mdeberta-no-freeze-highbs-1,zh-en,0.30915831120449105,1786,0.8978164899860671,70.43,4.18,news,2022,with_reference
human-mdeberta-no-freeze-highbs-2,en-de,0.3040732819174725,1472,0.9740418116781446,34.91,4.16,news,2022,with_reference
human-mdeberta-no-freeze-highbs-2,en-ru,0.3300259164213862,1504,0.9318545068237517,35.91,4.41,news,2022,with_reference
human-mdeberta-no-freeze-highbs-2,zh-en,0.30518284426442416,1786,0.8551552285455635,71.98,4.19,news,2022,with_reference
