experiment_name,lp,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
3_stages,en-de,0.1878269715960539,597,0.9646187860087344,4.07,3.26,news,2022,no_reference
3_stages,en-es,0.21430626362624172,590,0.9348512328308047,5.02,3.53,news,2022,no_reference
3_stages,en-zh,0.21430626362624172,590,0.9348512328308047,5.08,3.64,news,2022,no_reference
debug_3_stages,en-de,0.19722811936142098,597,0.8996545177593566,4.09,3.15,news,2022,no_reference
debug_3_stages,en-es,0.17492649001745053,590,0.8982403629348739,5.12,3.62,news,2022,no_reference
debug_3_stages,en-zh,0.20802322427559716,585,0.8984051793942053,3.33,3.38,news,2022,no_reference
default,en-de,0.21078202536927754,597,0.9256608962176139,4.13,3.06,news,2022,no_reference
default,en-es,0.24146638847335333,590,0.8886953176952891,5.06,3.57,news,2022,no_reference
default,en-zh,0.2777248952125134,585,0.8658852458102861,3.34,3.3,news,2022,no_reference
longer_unfrozen1,en-de,0.25993964775806844,597,0.9391379338816592,4.02,3.33,news,2022,no_reference
longer_unfrozen1,en-es,0.2625883152890285,590,0.9008929869860833,5.02,3.46,news,2022,no_reference
longer_unfrozen1,en-zh,0.287737360614808,585,0.8851033696627226,3.24,3.04,news,2022,no_reference
longer_unfrozen2,en-de,0.2425098407244983,597,0.9421726045273898,4.0,3.37,news,2022,no_reference
longer_unfrozen2,en-es,0.2507711430339977,590,0.9105172093262979,5.05,3.51,news,2022,no_reference
longer_unfrozen2,en-zh,0.289242998580672,585,0.9028453838198889,3.28,3.41,news,2022,no_reference
longer_unfrozen3,en-de,0.213141872652143,597,0.940995242972123,4.09,3.2,news,2022,no_reference
longer_unfrozen3,en-es,0.23464285578346927,590,0.9145651957265943,4.97,3.54,news,2022,no_reference
longer_unfrozen3,en-zh,0.2848924201491515,585,0.911029579976219,3.3,3.11,news,2022,no_reference
more_word_level_loss,en-de,0.1652448567707713,597,0.9372156153227154,4.1,3.1,news,2022,no_reference
more_word_level_loss,en-es,0.21708136029903533,590,0.9145186409565459,5.02,3.6,news,2022,no_reference
more_word_level_loss,en-zh,0.25913822134960135,585,0.9035152997773439,3.34,3.23,news,2022,no_reference
synth,en-de,0.3543700736868037,597,0.9844525819912291,5.46,4.49,news,2022,no_reference
synth,en-es,0.24341561981605936,590,0.9424821990201881,6.53,4.51,news,2022,no_reference
synth,en-zh,0.25329442260635093,585,0.8073825936292801,5.27,4.55,news,2022,no_reference
unfrozen_encoder,en-de,0.1663095663221798,597,0.9441903815353125,4.08,3.59,news,2022,no_reference
unfrozen_encoder,en-es,0.20125840567440187,590,0.9243434607787636,5.12,3.7,news,2022,no_reference
unfrozen_encoder,en-zh,0.2021381345209564,585,0.923552935745673,3.37,3.21,news,2022,no_reference
