experiment_name,lp,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
synthplus-mdeberta-varlen-0.1,en-de,0.4003174490462149,1411,0.9492065064112345,5.37,4.68,news,2022,no_reference
synthplus-mdeberta-varlen-0.1,en-es,0.33489146156807365,1418,0.9080732600639535,7.74,6.13,news,2022,no_reference
synthplus-mdeberta-varlen-0.1,en-zh,0.32769812899139683,1372,0.8268444287581859,4.56,4.85,news,2022,no_reference
synthplus-mdeberta-varlen-0.2,en-de,0.37050275326294313,1411,0.9648814619633189,5.75,5.05,news,2022,no_reference
synthplus-mdeberta-varlen-0.2,en-es,0.326143366268933,1418,0.9231742194720677,7.87,7.16,news,2022,no_reference
synthplus-mdeberta-varlen-0.2,en-zh,0.30373250557730264,1372,0.8227886945188918,4.89,4.89,news,2022,no_reference
synthplus-mdeberta-varlen-0.3,en-de,0.4023237838343012,1411,0.9596971758624964,5.21,4.76,news,2022,no_reference
synthplus-mdeberta-varlen-0.3,en-es,0.31633658816002613,1418,0.8944610686995081,6.77,4.95,news,2022,no_reference
synthplus-mdeberta-varlen-0.3,en-zh,0.33556415456006206,1372,0.7872340686612864,4.42,4.78,news,2022,no_reference
synthplus-mdeberta-varlen-0.4,en-de,0.4162571203826714,1411,0.975970994254999,5.61,4.33,news,2022,no_reference
synthplus-mdeberta-varlen-0.4,en-es,0.3180639262413116,1418,0.9021280802453228,7.13,5.7,news,2022,no_reference
synthplus-mdeberta-varlen-0.4,en-zh,0.32182106743825595,1372,0.7926403349786868,4.72,4.22,news,2022,no_reference
synthplus-mdeberta-varlen-0.5,en-de,0.4190219325395342,1411,0.9509704331347817,5.2,4.73,news,2022,no_reference
synthplus-mdeberta-varlen-0.5,en-es,0.31489324401076946,1418,0.8790268814160753,6.73,4.79,news,2022,no_reference
synthplus-mdeberta-varlen-0.5,en-zh,0.3502037010843419,1372,0.8119099546772565,4.45,4.51,news,2022,no_reference
synthplus-mdeberta-varlen-0.6,en-de,0.4095677695584377,1411,0.9539833085997063,5.58,4.32,news,2022,no_reference
synthplus-mdeberta-varlen-0.6,en-es,0.3024419135633252,1418,0.87975417472414,7.22,5.3,news,2022,no_reference
synthplus-mdeberta-varlen-0.6,en-zh,0.3467816896403539,1372,0.7804616383187839,4.7,4.23,news,2022,no_reference
synthplus-mdeberta-varlen-0.7,en-de,0.44808397629494384,1411,0.9706133548418681,5.29,4.64,news,2022,no_reference
synthplus-mdeberta-varlen-0.7,en-es,0.3167739755432151,1418,0.8903159024183727,6.73,5.4,news,2022,no_reference
synthplus-mdeberta-varlen-0.7,en-zh,0.35626182104566834,1372,0.7922519445162616,4.51,4.53,news,2022,no_reference
synthplus-mdeberta-varlen-0.8,en-de,0.44812397823703837,1411,0.9538425546779967,5.62,4.53,news,2022,no_reference
synthplus-mdeberta-varlen-0.8,en-es,0.30630253800007373,1418,0.8796751986510621,7.23,4.93,news,2022,no_reference
synthplus-mdeberta-varlen-0.8,en-zh,0.3488191038743535,1372,0.7943881005433795,4.76,4.44,news,2022,no_reference
synthplus-mdeberta-varlen-0.9,en-de,0.42175494799277274,1411,0.9551800178854088,5.26,5.37,news,2022,no_reference
synthplus-mdeberta-varlen-0.9,en-es,0.30744231378736464,1418,0.8762458411401854,6.65,4.79,news,2022,no_reference
synthplus-mdeberta-varlen-0.9,en-zh,0.36041145377195793,1372,0.8001962495866672,4.34,4.51,news,2022,no_reference
synthplus-mdeberta-varlen-1.0,en-de,0.4202375428434147,1411,0.9639391221498188,5.64,4.39,news,2022,no_reference
synthplus-mdeberta-varlen-1.0,en-es,0.31073757243848965,1418,0.89165099301541,7.17,4.53,news,2022,no_reference
synthplus-mdeberta-varlen-1.0,en-zh,0.35539091369680353,1372,0.8136571050203637,4.76,4.34,news,2022,no_reference
