experiment_name,lp,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
synthplus-mdeberta-varlen-0.1,en-de,0.3541582979928143,1472,0.9561058099468549,34.94,4.38,news,2022,with_reference
synthplus-mdeberta-varlen-0.1,en-ru,0.3993202575269972,1504,0.9031372519731522,38.16,6.59,news,2022,with_reference
synthplus-mdeberta-varlen-0.1,zh-en,0.36742260981431235,1786,0.8865133193971301,71.9,4.37,news,2022,with_reference
synthplus-mdeberta-varlen-0.2,en-de,0.3558629846398664,1472,0.9711827248268657,31.6,4.63,news,2022,with_reference
synthplus-mdeberta-varlen-0.2,en-ru,0.4002198300701175,1504,0.9142046932114495,32.26,6.94,news,2022,with_reference
synthplus-mdeberta-varlen-0.2,zh-en,0.3619606069158109,1786,0.8986750090240252,59.2,4.56,news,2022,with_reference
synthplus-mdeberta-varlen-0.3,en-de,0.36653193166264697,1472,0.9668970364663336,35.0,4.7,news,2022,with_reference
synthplus-mdeberta-varlen-0.3,en-ru,0.41730561941886113,1504,0.9072204386327002,36.42,6.84,news,2022,with_reference
synthplus-mdeberta-varlen-0.3,zh-en,0.3637659809230748,1786,0.893308376699391,72.36,4.48,news,2022,with_reference
synthplus-mdeberta-varlen-0.4,en-de,0.3716650005908616,1472,0.9823003213538064,31.11,4.58,news,2022,with_reference
synthplus-mdeberta-varlen-0.4,en-ru,0.4167518081128629,1504,0.9218631173769632,31.81,4.6,news,2022,with_reference
synthplus-mdeberta-varlen-0.4,zh-en,0.36808173400362965,1786,0.8979705157374391,59.13,4.64,news,2022,with_reference
synthplus-mdeberta-varlen-0.5,en-de,0.38954730990894526,1472,0.9575366629428333,34.56,4.29,news,2022,with_reference
synthplus-mdeberta-varlen-0.5,en-ru,0.42395602502792284,1504,0.9019584638939964,35.72,5.53,news,2022,with_reference
synthplus-mdeberta-varlen-0.5,zh-en,0.36064861776607604,1786,0.8820394983268021,71.42,4.28,news,2022,with_reference
synthplus-mdeberta-varlen-0.6,en-de,0.3776801667412729,1472,0.960719515575303,35.09,4.49,news,2022,with_reference
synthplus-mdeberta-varlen-0.6,en-ru,0.42249001746622283,1504,0.905914377907912,35.88,5.27,news,2022,with_reference
synthplus-mdeberta-varlen-0.6,zh-en,0.36789081023022285,1786,0.8802722725341029,71.57,4.42,news,2022,with_reference
synthplus-mdeberta-varlen-0.7,en-de,0.3754867714546577,1472,0.9777408513360554,30.89,4.61,news,2022,with_reference
synthplus-mdeberta-varlen-0.7,en-ru,0.42738022650360785,1504,0.9168911839591132,31.95,4.54,news,2022,with_reference
synthplus-mdeberta-varlen-0.7,zh-en,0.3657093692639172,1786,0.8967002233616983,58.35,4.45,news,2022,with_reference
synthplus-mdeberta-varlen-0.8,en-de,0.3843254549435804,1472,0.9613878564900822,34.18,4.34,news,2022,with_reference
synthplus-mdeberta-varlen-0.8,en-ru,0.41998171355204617,1504,0.9076424626575575,35.79,4.46,news,2022,with_reference
synthplus-mdeberta-varlen-0.8,zh-en,0.3596739281351663,1786,0.8858158380166926,70.94,4.22,news,2022,with_reference
synthplus-mdeberta-varlen-0.9,en-de,0.38591574568146697,1472,0.9633716194563442,34.92,4.36,news,2022,with_reference
synthplus-mdeberta-varlen-0.9,en-ru,0.42364839257793885,1504,0.9094467208385467,36.03,5.13,news,2022,with_reference
synthplus-mdeberta-varlen-0.9,zh-en,0.3666042887489966,1786,0.888396088042275,71.83,4.29,news,2022,with_reference
synthplus-mdeberta-varlen-1.0,en-de,0.3869140770784103,1472,0.9697382754551039,31.45,4.47,news,2022,with_reference
synthplus-mdeberta-varlen-1.0,en-ru,0.42316424217874604,1504,0.9157675719592306,31.89,4.68,news,2022,with_reference
synthplus-mdeberta-varlen-1.0,zh-en,0.35556500718287526,1786,0.8941576355715396,58.5,4.57,news,2022,with_reference
