experiment_name,lp,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
synthplus-mdeberta-0,en-de,0.23705240612516518,1472,0.8907860117885802,31.74,7.33,news,2022,with_reference
synthplus-mdeberta-0,en-ru,0.23906619661371867,1504,0.8605027976565891,30.92,4.6,news,2022,with_reference
synthplus-mdeberta-0,zh-en,0.2474434929418871,1786,0.8273527817285493,56.7,4.55,news,2022,with_reference
synthplus-mdeberta-1,en-de,0.24027509740675737,1472,0.8922977211607827,30.88,6.12,news,2022,with_reference
synthplus-mdeberta-1,en-ru,0.23960258318273803,1504,0.8613056059148576,30.99,4.53,news,2022,with_reference
synthplus-mdeberta-1,zh-en,0.2545743655965977,1786,0.8283657787813998,71.84,4.93,news,2022,with_reference
synthplus-mdeberta-2,en-de,0.23501823707858724,1472,0.8915040710634655,33.8,4.6,news,2022,with_reference
synthplus-mdeberta-2,en-ru,0.2364282651916463,1504,0.8610831212202708,35.78,4.54,news,2022,with_reference
synthplus-mdeberta-2,zh-en,0.24261318354121464,1786,0.8286498599634705,132.52,20.92,news,2022,with_reference
synthplus-mdeberta-lowbs-0,en-de,0.24266374305065264,1472,0.8545578226778242,37.27,8.99,news,2022,with_reference
synthplus-mdeberta-lowbs-0,en-ru,0.23244148634609435,1504,0.8200192382865482,30.9,4.58,news,2022,with_reference
synthplus-mdeberta-lowbs-0,zh-en,0.24324931543431055,1786,0.7856319582265596,62.55,6.2,news,2022,with_reference
synthplus-mdeberta-lowbs-1,en-de,0.23776556072881605,1472,0.870087175210317,35.78,5.39,news,2022,with_reference
synthplus-mdeberta-lowbs-1,en-ru,0.22972293287040718,1504,0.8364134269820319,36.33,4.77,news,2022,with_reference
synthplus-mdeberta-lowbs-1,zh-en,0.2385377463104296,1786,0.8063784770131505,64.3,4.95,news,2022,with_reference
synthplus-mdeberta-lowbs-2,en-de,0.23405394706612315,1472,0.867343309852812,34.17,5.87,news,2022,with_reference
synthplus-mdeberta-lowbs-2,en-ru,0.22793582677660443,1504,0.8348016748958164,30.67,4.43,news,2022,with_reference
synthplus-mdeberta-lowbs-2,zh-en,0.22746352793858193,1786,0.8071142786013411,64.31,6.61,news,2022,with_reference
