experiment_name,lp,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
3_stages,en-de,0.3400471489270316,603,0.9682818876107534,21.26,3.06,news,2022,with_reference
3_stages,en-ru,0.3216935812578072,601,0.9423338017861048,21.25,2.99,news,2022,with_reference
3_stages,zh-en,0.29885719202105493,767,0.8900224288383333,40.89,2.89,news,2022,with_reference
debug_3_stages,en-de,0.21280160841256038,603,0.9004861485163371,21.25,3.14,news,2022,with_reference
debug_3_stages,en-ru,0.19156254740271425,601,0.8989306649367015,21.39,2.96,news,2022,with_reference
debug_3_stages,zh-en,0.2664458398700568,767,0.8971553652357347,40.35,3.65,news,2022,with_reference
default,en-de,0.3265972326729255,603,0.9361970884005228,21.51,3.08,news,2022,with_reference
default,en-ru,0.3376024987933661,601,0.907284202893575,20.99,2.98,news,2022,with_reference
default,zh-en,0.32463374621710683,767,0.8307120190752615,40.87,3.03,news,2022,with_reference
longer_unfrozen1,en-de,0.3318559705752548,603,0.9461433503892687,21.12,3.11,news,2022,with_reference
longer_unfrozen1,en-ru,0.3258110942963051,601,0.9027511546611786,21.1,2.81,news,2022,with_reference
longer_unfrozen1,zh-en,0.3306216535082383,767,0.8512612570158326,40.64,2.85,news,2022,with_reference
longer_unfrozen2,en-de,0.3299403589006261,603,0.9451496562692854,21.43,3.32,news,2022,with_reference
longer_unfrozen2,en-ru,0.32789035578958414,601,0.9124942890670564,21.44,2.79,news,2022,with_reference
longer_unfrozen2,zh-en,0.33502951831117944,767,0.8588119528789332,40.46,3.07,news,2022,with_reference
longer_unfrozen3,en-de,0.33076864725421345,603,0.942623914109336,21.82,3.2,news,2022,with_reference
longer_unfrozen3,en-ru,0.3303614240431085,601,0.9206576682329178,21.21,2.94,news,2022,with_reference
longer_unfrozen3,zh-en,0.32994152780605746,767,0.8609999771401433,40.49,3.08,news,2022,with_reference
more_word_level_loss,en-de,0.3200056215781439,603,0.9418460536532932,21.48,3.02,news,2022,with_reference
more_word_level_loss,en-ru,0.3482544610542156,601,0.9221757117509842,21.22,3.28,news,2022,with_reference
more_word_level_loss,zh-en,0.3155825566098301,767,0.8484125718857982,40.34,3.22,news,2022,with_reference
unfrozen_encoder,en-de,0.3241915090880229,603,0.953500304725435,21.08,3.16,news,2022,with_reference
unfrozen_encoder,en-ru,0.327768599452454,601,0.9393631018267737,21.5,2.96,news,2022,with_reference
unfrozen_encoder,zh-en,0.2884392779484981,767,0.8667170817466459,40.53,3.1,news,2022,with_reference
