model,lp,experiment_name,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
Unbabel/XCOMET-XL,en-de,prune04layers,0.42780437247612463,6854,0.8878655251285487,23.16,57.0,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune04layers_finetune6,0.4184922765887298,6854,0.9364575235885486,28.28,56.19,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune04layers_finetune7,0.42014332519130104,6854,0.9383696886112816,20.78,53.15,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune08layers,0.3945830659911757,6160,0.7558023052884821,19.74,53.71,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune08layers_finetune6,0.4105333204926869,6160,0.9657210964069032,24.05,66.89,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune08layers_finetune7,0.4040585165699372,6160,0.9672894215165523,19.84,58.19,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune12layers,0.3453533435248816,5466,0.641031132622769,19.07,59.3,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune12layers_finetune6,0.3731716238864564,5466,0.9631626946466011,21.89,61.83,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune12layers_finetune7,0.3655126314904303,5466,0.9575822396027415,19.05,58.07,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,vanilla,0.434857643710639,7548,0.9085341676494532,30.13,58.13,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune04layers,0.31837289508288075,6822,0.8008818915814584,27.67,55.59,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune04layers_finetune6,0.3264170389076921,6822,0.8871731602768601,32.67,58.03,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune04layers_finetune7,0.32632369166179304,6822,0.8909001186928807,25.37,55.98,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune08layers,0.2677941207071409,6131,0.7061718622529259,23.28,56.06,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune08layers_finetune6,0.29964500972452546,6131,0.9409692373894553,30.8,57.68,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune08layers_finetune7,0.2979788069053045,6131,0.9481723176614019,22.68,56.01,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune12layers,0.21949980490319723,5441,0.6092181387585928,21.86,57.15,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune12layers_finetune6,0.28126296803535117,5441,0.9403788568929341,28.16,66.16,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune12layers_finetune7,0.28129437566061927,5441,0.9381120593623221,21.05,54.89,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,vanilla,0.3126140014206338,7514,0.8295067850512533,38.45,57.5,news,2022,no_reference
Unbabel/XCOMET-XL,en-zh,prune04layers,0.389549246450069,6791,0.6283361541875778,22.04,58.11,news,2022,no_reference
Unbabel/XCOMET-XL,en-zh,prune04layers_finetune6,0.3442041743074992,6791,0.7597786969249357,24.69,66.05,news,2022,no_reference
Unbabel/XCOMET-XL,en-zh,prune04layers_finetune7,0.3458915298279211,6791,0.7703588614938179,19.66,57.3,news,2022,no_reference
Unbabel/XCOMET-XL,en-zh,prune08layers,0.4214956241540732,6105,0.661608629243113,18.34,56.94,news,2022,no_reference
Unbabel/XCOMET-XL,en-zh,prune08layers_finetune6,0.40773621520215697,6105,0.9135342737809016,20.46,59.14,news,2022,no_reference
Unbabel/XCOMET-XL,en-zh,prune08layers_finetune7,0.38197799797237747,6105,0.9214310255880298,16.83,56.27,news,2022,no_reference
Unbabel/XCOMET-XL,en-zh,prune12layers,0.39255881652640984,5418,0.6035912176024596,16.99,57.43,news,2022,no_reference
Unbabel/XCOMET-XL,en-zh,prune12layers_finetune6,0.3905650368639034,5418,0.9349227462936125,19.66,58.08,news,2022,no_reference
Unbabel/XCOMET-XL,en-zh,prune12layers_finetune7,0.3860140602919279,5418,0.929278188178911,15.35,54.35,news,2022,no_reference
Unbabel/XCOMET-XL,en-zh,vanilla,0.3858680702883081,7478,0.6438612337516979,29.1,56.24,news,2022,no_reference
