model,lp,experiment_name,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
Unbabel/XCOMET-XL,en-de,prune-xl-0-layers-seed-0,0.42682665494730293,7548,0.9302664550145467,16.1,36.21,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-0-layers-seed-1,0.423653027061913,7548,0.9320687585964538,11.97,40.22,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-0-layers-seed-2,0.4214702205546856,7548,0.9303732323646545,17.26,50.86,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-12-layers-seed-0,0.375836400140526,5466,0.965141518659759,11.35,35.72,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-12-layers-seed-1,0.37053121919913734,5466,0.9623999479360748,12.45,40.53,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-12-layers-seed-2,0.3719013812352902,5466,0.9627518530895836,8.55,34.72,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-16-layers-seed-0,0.3413179432906058,4773,0.9655211815081145,8.9,38.95,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-16-layers-seed-1,0.36538644260732817,4773,0.9629122176923249,10.7,39.39,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-16-layers-seed-2,0.3447642391540122,4773,0.9633532127581145,10.5,36.53,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-20-layers-seed-0,0.3319294112360384,4079,0.9540731592345656,7.53,38.98,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-20-layers-seed-1,0.3083501052926215,4079,0.9480143752850985,9.45,39.26,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-20-layers-seed-2,0.3355881055987983,4079,0.9498646888398288,7.49,38.67,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-4-layers-seed-0,0.4285611350212093,6854,0.9373544114932679,10.83,36.12,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-4-layers-seed-1,0.4283917869245392,6854,0.940139235822778,15.56,41.32,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-4-layers-seed-2,0.4280957157899694,6854,0.9398795581700509,15.24,39.45,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-8-layers-seed-0,0.4196966411055111,6160,0.9722483030954997,10.24,36.83,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-8-layers-seed-1,0.39458439639309656,6160,0.9660274286437452,9.76,35.89,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,prune-xl-8-layers-seed-2,0.4150986108426446,6160,0.965004607920061,9.5,39.6,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune-xl-0-layers-seed-0,0.3281681170353756,7514,0.8871826594502481,19.88,36.1,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune-xl-0-layers-seed-1,0.33082533483390364,7514,0.8870559895051605,14.04,38.15,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune-xl-0-layers-seed-2,0.3303896046599816,7514,0.888039414518012,22.07,46.35,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune-xl-12-layers-seed-0,0.2857628960684615,5441,0.9418837575642077,14.1,36.52,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune-xl-12-layers-seed-1,0.28357764616864806,5441,0.9400479105852683,14.87,43.89,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune-xl-12-layers-seed-2,0.28428469737770057,5441,0.9422378606338667,10.21,35.18,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune-xl-16-layers-seed-0,0.2547330343363672,4751,0.9449357457353349,10.23,38.69,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,prune-xl-16-layers-seed-1,0.27695044932996704,4751,0.9423124628342615,13.05,39.35,news,2022,no_reference
