model,lp,experiment_name,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
Unbabel/XCOMET-XL,en-de,prune-xl-0-layers-seed-0,0.4039702141603785,7566,0.9621962964137395,111.92,37.0,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-0-layers-seed-1,0.40365276657694577,7566,0.9628318351507187,67.56,39.82,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-0-layers-seed-2,0.40566463780174467,7566,0.962181098818779,115.84,41.21,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-12-layers-seed-0,0.37240030679870123,5479,0.9760630225075616,77.04,36.82,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-12-layers-seed-1,0.36064794197126104,5479,0.9761053402158949,77.86,44.9,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-12-layers-seed-2,0.37105410630020896,5479,0.9752637603547838,47.39,34.56,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-16-layers-seed-0,0.3477065574278287,4783,0.9749339162508647,42.63,38.4,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-16-layers-seed-1,0.364608363009051,4783,0.9733088077439203,66.44,37.35,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-16-layers-seed-2,0.3634338616346722,4783,0.9745986297925313,66.22,36.45,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-20-layers-seed-0,0.3569464027014219,4087,0.96312104956309,35.93,39.13,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-20-layers-seed-1,0.34140799106543507,4087,0.9604738582240211,55.63,38.43,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-20-layers-seed-2,0.3470236021541973,4087,0.9612502472930484,36.06,38.72,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-4-layers-seed-0,0.4082093283587244,6870,0.9693760427236557,60.3,35.6,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-4-layers-seed-1,0.4062354399215375,6870,0.9675380784140692,102.16,40.36,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-4-layers-seed-2,0.4067432592454029,6870,0.9688005567126804,100.59,39.19,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-8-layers-seed-0,0.3791218540123782,6175,0.9836296197043525,53.85,34.91,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-8-layers-seed-1,0.38584519099227316,6175,0.9808075710932413,53.91,36.6,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune-xl-8-layers-seed-2,0.37824261634394823,6175,0.979064298523797,53.99,39.79,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune-xl-0-layers-seed-0,0.4417599689381825,7562,0.9225461501015557,113.4,35.71,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune-xl-0-layers-seed-1,0.4445310004889777,7562,0.9199946449465222,68.56,39.92,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune-xl-0-layers-seed-2,0.44784451488639904,7562,0.9240466925965415,116.51,47.61,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune-xl-12-layers-seed-0,0.39563772407667314,5474,0.9623561676343282,78.97,37.35,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune-xl-12-layers-seed-1,0.38909534507376115,5474,0.9626570573912726,81.34,44.99,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune-xl-12-layers-seed-2,0.39366795071676774,5474,0.9636406728426615,49.48,34.54,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune-xl-16-layers-seed-0,0.36243596036633446,4779,0.9560300963189867,43.32,38.28,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune-xl-16-layers-seed-1,0.3690986939646085,4779,0.9535702438884311,68.7,37.65,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune-xl-16-layers-seed-2,0.3746731288920454,4779,0.9550350876384311,69.23,36.31,news,2022,with_reference
