model,lp,experiment_name,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
Unbabel/XCOMET-XXL,en-de,prune-xxl-0-layers-seed-0,0.43595386261695024,22397,0.9581657836304771,324.67,153.28,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-0-layers-seed-1,0.43595386261695024,22397,0.9581657836304771,333.1,148.09,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-0-layers-seed-2,0.43595386261695024,22397,0.9581657836304771,330.91,137.14,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-12-layers-seed-0,0.35016782233146926,17317,0.963524729013443,245.83,135.6,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-12-layers-seed-1,0.36244264327873893,17317,0.8243543188505702,127.65,124.43,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-12-layers-seed-2,0.36374782479800394,17317,0.9578332142564986,241.77,128.89,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-16-layers-seed-0,0.3533839320255331,15624,0.9571604537963867,216.38,121.67,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-16-layers-seed-1,0.345597353004582,15624,0.949598908689287,220.65,111.99,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-16-layers-seed-2,0.3575722805788839,15624,0.95020487136311,224.34,133.11,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-20-layers-seed-0,0.32588997727545355,13931,0.9266967186662886,96.99,110.82,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-20-layers-seed-1,0.3450591305284982,13931,0.9257221386432648,191.92,112.62,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-20-layers-seed-2,0.3141461800457513,13931,0.9292658349143135,191.62,133.47,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-4-layers-seed-0,0.4247962262076399,20704,0.9427171771857473,151.42,127.62,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-4-layers-seed-1,0.42471559804296877,20704,0.9427126494579845,298.38,121.9,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-4-layers-seed-2,0.42471559804296877,20704,0.9427126494579845,298.78,137.75,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-8-layers-seed-0,0.3854207679949071,19011,0.903946550488472,137.44,132.9,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-8-layers-seed-1,0.3853646056027738,19011,0.9039202553431193,270.34,126.17,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-8-layers-seed-2,0.3853646056027738,19011,0.9039202553431193,271.21,136.23,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-0-layers-seed-0,0.4708076673859195,22401,0.8819454346365398,327.21,137.35,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-0-layers-seed-1,0.4708076673859195,22401,0.8819454346365398,337.8,149.38,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-0-layers-seed-2,0.4708076673859195,22401,0.8819454346365398,335.64,137.16,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-12-layers-seed-0,0.46857692217568975,17317,0.9438578323059612,248.36,137.83,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-12-layers-seed-1,0.3960863622651808,17317,0.7782708486053679,125.23,125.07,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-12-layers-seed-2,0.4612738673387481,17317,0.939997489074866,243.94,124.95,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-16-layers-seed-0,0.4409521229695473,15624,0.9416371421085463,217.37,118.68,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-16-layers-seed-1,0.4485720746993559,15624,0.9328822198311488,221.87,126.75,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-16-layers-seed-2,0.44401622833221777,15624,0.9326257805426915,222.74,134.25,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-20-layers-seed-0,0.4060256039446001,13932,0.9089081195924017,97.55,126.75,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-20-layers-seed-1,0.4057935259004961,13932,0.9063359271619055,192.59,123.57,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-20-layers-seed-2,0.40392959096735287,13932,0.9114496759970983,193.55,129.02,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-4-layers-seed-0,0.4537698629953336,20704,0.8797075626982583,157.03,127.24,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-4-layers-seed-1,0.45366320383402603,20704,0.879710166864925,302.18,140.05,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-4-layers-seed-2,0.45366320383402603,20704,0.879710166864925,301.71,130.52,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-8-layers-seed-0,0.4347894782631733,19009,0.8452287881241904,136.71,127.94,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-8-layers-seed-1,0.43492361476558106,19009,0.8452439912557602,271.2,132.97,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-8-layers-seed-2,0.43492361476558106,19009,0.8452439912557602,272.31,160.94,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-0-layers-seed-0,0.3928311834607788,23649,0.8006382951523998,702.71,142.5,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-0-layers-seed-1,0.3928311834607788,23649,0.8006382951523998,719.11,152.57,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-0-layers-seed-2,0.3928311834607788,23649,0.8006382951523998,714.49,116.92,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-12-layers-seed-0,0.3845711812831555,18272,0.8792860958953895,532.92,122.32,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-12-layers-seed-1,0.36923377662390217,18272,0.7073249406783101,265.55,126.16,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-12-layers-seed-2,0.38784402308570864,18272,0.8805806640429859,525.74,128.56,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-16-layers-seed-0,0.3717128851469145,16479,0.8809297771186325,467.9,125.06,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-16-layers-seed-1,0.37045356420243425,16479,0.8715736001710294,481.08,128.42,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-16-layers-seed-2,0.37286197170548124,16479,0.8735221219534921,481.13,135.17,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-20-layers-seed-0,0.34843227760848056,14687,0.8362558834584239,209.05,128.24,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-20-layers-seed-1,0.35351459455745454,14687,0.828535577345996,417.19,128.06,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-20-layers-seed-2,0.35017281756137386,14687,0.8369702617681459,419.22,128.6,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-4-layers-seed-0,0.3957015861755787,21856,0.7792048544616196,323.07,127.12,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-4-layers-seed-1,0.3957987561644864,21856,0.7791929057840467,642.0,121.81,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-4-layers-seed-2,0.3957987561644864,21856,0.7791929057840467,645.87,136.0,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-8-layers-seed-0,0.3977766220564269,20064,0.7563686549663544,292.26,132.52,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-8-layers-seed-1,0.39777838447704955,20064,0.7563743185170806,583.78,139.34,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-8-layers-seed-2,0.39777838447704955,20064,0.7563743185170806,588.52,139.28,news,2022,with_reference
