model,lp,experiment_name,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
Unbabel/XCOMET-XL,en-de,prune04layers,0.3898301464381188,6870,0.9340550436576207,133.09,54.75,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune04layers_finetune6,0.40725212268553357,6870,0.9654962725374434,136.05,68.5,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune04layers_similarity,0.392822210955825,6870,0.8818847758173942,134.8,55.68,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune08layers,0.33486879387956325,6175,0.8027333766486909,114.44,54.55,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune08layers_finetune6,0.37565450513566145,6175,0.9801142360369365,116.93,67.65,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune08layers_similarity,0.3820034509106838,6175,0.6839545390076107,117.38,54.72,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune12layers,0.2650764165230007,5479,0.6744380767610338,108.37,52.39,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune12layers_finetune6,0.3679213534861479,5479,0.9757807959450616,103.28,63.46,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,prune12layers_similarity,0.18867930206597733,5479,0.33638589802715513,107.77,53.59,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,vanilla,0.41520756273714954,7566,0.9539591185980373,200.69,55.2,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune04layers,0.4241290216562163,6865,0.8669651728669803,131.64,54.81,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune04layers_finetune6,0.4298068392592912,6865,0.9228317954209115,177.78,56.67,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune04layers_similarity,0.43233581466450777,6865,0.8334684896601571,134.76,54.15,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune08layers,0.36138137137513143,6169,0.7588447299997012,115.94,56.59,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune08layers_finetune6,0.4104308580784027,6169,0.9684555700884925,163.57,63.21,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune08layers_similarity,0.38433435443755204,6169,0.662018886897299,117.19,54.73,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune12layers,0.2805113912788296,5474,0.6470704293118583,108.45,52.45,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune12layers_finetune6,0.3941238368010055,5474,0.962057773537106,151.5,62.74,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,prune12layers_similarity,0.15601785018370345,5474,0.32596485304170186,108.58,55.71,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,vanilla,0.4475899274166139,7561,0.8938134268191126,204.76,56.93,news,2022,with_reference
Unbabel/XCOMET-XL,zh-en,prune04layers,0.40084946621576006,7417,0.7534299387436102,290.83,53.52,news,2022,with_reference
Unbabel/XCOMET-XL,zh-en,prune04layers_finetune6,0.38912413680096414,7417,0.8361257632966875,361.74,56.69,news,2022,with_reference
Unbabel/XCOMET-XL,zh-en,prune04layers_similarity,0.39218482430885715,7417,0.6767534258105967,286.36,52.47,news,2022,with_reference
Unbabel/XCOMET-XL,zh-en,prune08layers,0.3691982487947136,6657,0.697150886184705,245.07,55.63,news,2022,with_reference
Unbabel/XCOMET-XL,zh-en,prune08layers_finetune6,0.3798184643303293,6657,0.9226469737153635,317.48,63.2,news,2022,with_reference
Unbabel/XCOMET-XL,zh-en,prune08layers_similarity,0.34980066550718886,6657,0.42136385385746217,250.45,55.97,news,2022,with_reference
Unbabel/XCOMET-XL,zh-en,prune12layers,0.33709936509558963,5897,0.601956374393438,233.53,55.32,news,2022,with_reference
Unbabel/XCOMET-XL,zh-en,prune12layers_finetune6,0.36574852762122345,5897,0.9207150058148325,305.94,63.19,news,2022,with_reference
Unbabel/XCOMET-XL,zh-en,prune12layers_similarity,0.155174413540285,5897,0.28397986000913994,227.68,55.25,news,2022,with_reference
Unbabel/XCOMET-XL,zh-en,vanilla,0.3994202052154398,8178,0.7929157190275664,402.57,53.98,news,2022,with_reference
