model,lp,experiment_name,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
Unbabel/XCOMET-XXL,en-de,prune-xxl-0-layers-seed-0,0.4618779565871605,22337,0.8796760625169988,26.68,183.21,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-0-layers-seed-1,0.4577094449193978,22337,0.9338833259699637,23.84,165.08,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-0-layers-seed-2,0.4499937892522184,22313,0.9559399399841041,28.7,161.79,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-12-layers-seed-0,0.4448772266651152,17280,0.9371673391576398,18.54,146.03,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-12-layers-seed-1,0.42980700864512733,17256,0.911690533955892,22.35,181.75,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-12-layers-seed-2,0.44803254307366114,17256,0.9386550610525566,22.29,161.69,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-16-layers-seed-0,0.40668817947649427,15571,0.8527057227753756,22.88,179.14,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-16-layers-seed-1,0.389465279014271,15571,0.8694716260307713,21.85,198.96,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-16-layers-seed-2,0.40169255311827307,15571,0.8889446604042722,20.72,168.77,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-20-layers-seed-0,0.3172143573587463,13886,0.8201707611585918,18.53,170.35,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-20-layers-seed-1,0.3235286911439665,13886,0.8378553389666373,18.52,160.24,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-20-layers-seed-2,0.31676745005834955,13886,0.8379296127118563,18.64,192.81,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-4-layers-seed-0,0.46849654388029527,20651,0.9371370626750746,22.05,159.07,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-4-layers-seed-1,0.45859890629929084,20651,0.9109577109939173,22.72,238.31,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-4-layers-seed-2,0.4631886375012832,20627,0.9455511626862643,26.97,166.04,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-8-layers-seed-0,0.46589121866746497,18966,0.9485305006043953,19.74,141.89,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-8-layers-seed-1,0.453254960849071,18942,0.9295214747127734,24.65,213.74,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-8-layers-seed-2,0.4745308533627846,18942,0.9499413481511568,24.73,292.13,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-0-layers-seed-0,0.3086901388185469,22258,0.8413855658525209,29.64,198.09,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-0-layers-seed-1,0.30401336942925267,22258,0.8971408647337813,27.7,163.97,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-0-layers-seed-2,0.29945384178388473,22234,0.9167530314352936,34.4,160.08,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-12-layers-seed-0,0.29488608896324636,17219,0.8847345855724851,21.28,141.2,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-12-layers-seed-1,0.2847577765503755,17195,0.8604450394829071,26.84,178.48,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-12-layers-seed-2,0.29419636479402567,17195,0.8865876825386201,26.83,161.11,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-16-layers-seed-0,0.28986599628551146,15516,0.8119683811032785,25.05,170.76,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-16-layers-seed-1,0.2838484541917049,15516,0.8301541376269891,25.81,196.67,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-16-layers-seed-2,0.300949793669286,15516,0.8500090099733034,24.81,165.71,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-20-layers-seed-0,0.22622812980537965,13836,0.7819550299332472,22.25,159.93,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-20-layers-seed-1,0.2324383111337478,13836,0.8045691622252553,22.54,162.51,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-20-layers-seed-2,0.2327924430837374,13836,0.8030895590782166,24.34,204.43,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-4-layers-seed-0,0.30019912784189984,20578,0.9007766534906437,25.56,146.27,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-4-layers-seed-1,0.29859978613633115,20578,0.8735268678406463,26.19,207.1,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-4-layers-seed-2,0.2985246616290216,20555,0.9089969952012876,31.79,163.96,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-8-layers-seed-0,0.2893460909634837,18898,0.9022297136558701,23.21,142.55,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-8-layers-seed-1,0.28953509021549456,18875,0.8807291613410317,29.48,163.93,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,prune-xxl-8-layers-seed-2,0.29480367004862523,18875,0.9006221839749826,29.2,167.08,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-0-layers-seed-0,0.36745412421467705,22231,0.7316436188986957,23.44,191.03,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-0-layers-seed-1,0.3658037786212373,22231,0.8028973723977522,21.63,165.45,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-0-layers-seed-2,0.368036450439841,22210,0.8230410217982135,26.33,161.04,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-12-layers-seed-0,0.41489891658456457,17197,0.8326659703644876,16.64,144.21,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-12-layers-seed-1,0.4165247535064465,17175,0.8092185260405528,20.49,164.49,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-12-layers-seed-2,0.4178603066506898,17175,0.8356495458539656,20.59,162.07,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-16-layers-seed-0,0.38577416969386064,15497,0.7786568521837239,18.99,171.82,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-16-layers-seed-1,0.38739320290008056,15497,0.7967715548555159,18.65,171.78,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-16-layers-seed-2,0.3944535435124504,15497,0.8153438339656432,18.86,167.26,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-20-layers-seed-0,0.32531344342524504,13819,0.7518836672607935,17.02,163.21,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-20-layers-seed-1,0.3302387596245539,13819,0.779729414150491,16.93,159.88,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-20-layers-seed-2,0.33079960123250474,13819,0.7755871238018499,17.04,161.18,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-4-layers-seed-0,0.36644235594200264,20553,0.7978457207827605,20.46,147.82,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-4-layers-seed-1,0.3699975051433755,20553,0.7770466102956185,21.14,207.54,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-4-layers-seed-2,0.3640386382241768,20531,0.8133710014933044,24.47,165.05,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-8-layers-seed-0,0.3809789346882205,18875,0.8223367989525314,18.21,143.53,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-8-layers-seed-1,0.3863178239321866,18853,0.8043882358084457,22.45,164.96,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,prune-xxl-8-layers-seed-2,0.392554548899018,18853,0.8231242143265858,25.95,189.2,news,2022,no_reference
