model,lp,experiment_name,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
Unbabel/XCOMET-XXL,en-de,prune-xxl-0-layers-seed-0,0.4228841764923451,22421,0.904061728172832,123.09,185.72,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-0-layers-seed-1,0.414481400043734,22421,0.954616805937555,123.41,165.97,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-0-layers-seed-2,0.4270806923034371,22397,0.9732414108117421,182.66,161.87,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-12-layers-seed-0,0.37873209432223987,17341,0.9586073027981652,94.38,144.81,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-12-layers-seed-1,0.38206530774487013,17317,0.936589670419693,137.2,171.5,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-12-layers-seed-2,0.3844356511400416,17317,0.9611104494995542,136.7,161.39,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-16-layers-seed-0,0.3843365091077579,15624,0.8875886038409339,126.93,177.13,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-16-layers-seed-1,0.3534595852616426,15624,0.8994303165276846,124.5,192.41,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-16-layers-seed-2,0.37948213182097473,15624,0.9227408981058333,124.67,163.54,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-20-layers-seed-0,0.33201217144034506,13931,0.8637163146071963,112.42,170.19,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-20-layers-seed-1,0.32272077941870736,13931,0.8758752799299028,111.77,216.88,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-20-layers-seed-2,0.3499278089333411,13931,0.8754595958126916,109.89,161.77,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-4-layers-seed-0,0.4220805818527879,20728,0.963910939057668,114.69,147.63,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-4-layers-seed-1,0.4105424787992317,20728,0.9368357419172922,116.41,175.22,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-4-layers-seed-2,0.42488162609590635,20703,0.9675222539371914,166.14,169.73,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-8-layers-seed-0,0.39418105451451646,19034,0.9699388204018274,103.08,142.78,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-8-layers-seed-1,0.37462930111869475,19010,0.9485083513326115,152.75,166.32,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,prune-xxl-8-layers-seed-2,0.3969981701796689,19010,0.9696597970856561,156.34,165.63,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-0-layers-seed-0,0.4588911304801557,22419,0.869359772225221,131.37,955.56,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-0-layers-seed-1,0.4679246315583842,22419,0.9245257854594124,132.55,169.82,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-0-layers-seed-2,0.4586372255348795,22395,0.9418952241275046,197.81,168.72,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-12-layers-seed-0,0.4640312336844634,17341,0.9390973510344823,107.81,161.23,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-12-layers-seed-1,0.4521958360070567,17317,0.9127472967240545,141.3,167.11,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-12-layers-seed-2,0.4638033733093482,17317,0.9424293948014577,142.81,161.13,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-16-layers-seed-0,0.446428429395101,15624,0.8661519666843944,140.26,169.56,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-16-layers-seed-1,0.45060060810606073,15624,0.8826755061745644,125.4,178.55,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-16-layers-seed-2,0.44780447594574546,15624,0.9002703525490231,134.56,169.32,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-20-layers-seed-0,0.3965864344023716,13932,0.8443688298000229,115.12,170.57,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-20-layers-seed-1,0.3927270052581635,13932,0.8663296670450105,113.71,266.41,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-20-layers-seed-2,0.386934923372334,13932,0.8683360523647732,123.72,163.9,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-4-layers-seed-0,0.4536107460779108,20726,0.9385229676895671,115.43,143.43,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-4-layers-seed-1,0.46824302722443606,20726,0.9120832035011716,133.54,1556.92,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-4-layers-seed-2,0.46646392473500403,20701,0.9411980758839184,182.79,169.49,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-8-layers-seed-0,0.46328942483868135,19034,0.9494040540324317,105.21,143.68,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-8-layers-seed-1,0.4664137562142673,19009,0.9254537475506465,160.51,165.04,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,prune-xxl-8-layers-seed-2,0.4715522655719578,19009,0.9444964702526728,167.44,167.75,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-0-layers-seed-0,0.3777803423811668,23673,0.788385011626549,257.87,181.04,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-0-layers-seed-1,0.37212273345672137,23673,0.8507670193458154,256.52,164.79,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-0-layers-seed-2,0.3734125460893058,23649,0.8764648490731078,393.48,161.1,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-12-layers-seed-0,0.39378918303372096,18296,0.8761718833603874,198.23,142.25,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-12-layers-seed-1,0.39503306383287146,18272,0.8460850314417294,293.22,165.17,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-12-layers-seed-2,0.3939303135475387,18272,0.876051615315302,291.73,161.92,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-16-layers-seed-0,0.3734617577644457,16479,0.8166553856948815,267.18,164.37,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-16-layers-seed-1,0.37744887252893594,16479,0.8294104171743487,263.59,173.57,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-16-layers-seed-2,0.37297920224045633,16479,0.8503622357247292,265.79,170.19,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-20-layers-seed-0,0.3433746166282633,14687,0.7807443700804568,239.06,216.23,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-20-layers-seed-1,0.3428348804434118,14687,0.8012486849956386,239.86,167.4,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-20-layers-seed-2,0.3474638099949298,14687,0.7965770086557559,238.72,177.91,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,prune-xxl-4-layers-seed-0,0.37517691710570766,21880,0.8518141567785747,238.0,153.97,news,2022,with_reference
