model,lp,experiment_name,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
Unbabel/XCOMET-XL,en-de,2bit,0.17845415227143582,3392,0.264005548263851,48.55,56.91,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,3bit,0.42605529142232673,3392,0.8832235012765516,78.43,53.55,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,4bit,0.44508237799260025,3561,0.9058412486001065,33.07,57.04,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,8bit,0.4348843757876689,4973,0.9082381799346523,37.32,59.53,news,2022,no_reference
Unbabel/XCOMET-XL,en-de,vanilla,0.43469440401642684,7540,0.908443629197907,27.56,54.01,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,2bit,0.18342521325412406,3392,0.2538192735633517,61.66,53.64,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,3bit,0.30547399159171656,3394,0.7897728831225939,101.22,59.72,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,4bit,0.31664187794111875,3523,0.8276108007232131,45.07,72.35,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,8bit,0.3126440235134763,4937,0.8294280906214969,46.1,74.1,news,2022,no_reference
Unbabel/XCOMET-XL,en-es,vanilla,0.3124563150964417,7506,0.829458230308124,32.42,53.72,news,2022,no_reference
Unbabel/XCOMET-XL,en-zh,2bit,0.16691090627037078,3394,0.2351853634446577,40.56,55.79,news,2022,no_reference
Unbabel/XCOMET-XL,en-zh,3bit,0.37381306640152073,3392,0.571952723101436,64.31,74.76,news,2022,no_reference
Unbabel/XCOMET-XL,en-zh,4bit,0.3804147782895503,3487,0.6429612777235177,28.59,89.93,news,2022,no_reference
Unbabel/XCOMET-XL,en-zh,8bit,0.3872208540156021,4900,0.644082265024448,32.89,59.12,news,2022,no_reference
Unbabel/XCOMET-XL,en-zh,vanilla,0.3860934764452739,7469,0.6438693494297737,24.17,53.8,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,2bit,0.38934289340036426,7301,0.812602187813374,109.99,241.67,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,3bit,0.4649472836724259,7513,0.9225060249420635,151.79,179.54,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,4bit,0.47469950809180134,8674,0.9282716329683337,153.35,173.01,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,8bit,0.47121406525063336,13318,0.9279150294002734,129.01,241.75,news,2022,no_reference
Unbabel/XCOMET-XXL,en-de,vanilla,0.47076102093589195,22305,0.9279438888399224,73.01,170.94,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,2bit,0.29360995095207104,7301,0.6687419753168246,137.14,242.69,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,3bit,0.294533835713238,7428,0.8118360721817973,192.71,180.48,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,4bit,0.29103817886211375,8592,0.8218931218074998,119.0,167.11,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,8bit,0.2949720794974291,13236,0.8187426599057446,141.35,192.56,news,2022,no_reference
Unbabel/XCOMET-XXL,en-es,vanilla,0.29646022642157627,22226,0.8190691597036603,82.98,754.07,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,2bit,0.31957542160598057,7301,0.42222943373223404,95.33,246.28,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,3bit,0.3785135189319797,7376,0.6746063366930204,128.1,163.95,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,4bit,0.3882105155247591,8555,0.7054894554727966,79.76,168.5,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,8bit,0.38665026595819113,13195,0.7055289802830554,94.56,170.92,news,2022,no_reference
Unbabel/XCOMET-XXL,en-zh,vanilla,0.38735933143084644,22202,0.7059745538296317,66.8,183.04,news,2022,no_reference
