model,lp,experiment_name,kendall_correlation,peak_memory_mb,system_level_score,prediction_time,model_load_time,domain,year,setup
Unbabel/XCOMET-XL,en-de,2bit,0.2215841940558495,3390,0.2505115160677168,479.05,60.4,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,3bit,0.3901769543077921,3390,0.9348103155493737,721.17,73.84,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,4bit,0.4086277581508435,3577,0.9529242555631532,267.28,56.22,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,8bit,0.4149101154591425,4996,0.953931665956974,305.62,52.94,news,2022,with_reference
Unbabel/XCOMET-XL,en-de,vanilla,0.4154896085405361,7558,0.9538968084984355,154.01,51.34,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,2bit,0.21518710550651346,3392,0.2308663255373637,464.17,63.4,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,3bit,0.43534161958562684,3392,0.8469406673577097,720.33,55.67,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,4bit,0.4454085827336142,3572,0.8911179010007116,273.0,68.33,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,8bit,0.44746378685206895,4985,0.8937040014598104,309.13,54.31,news,2022,with_reference
Unbabel/XCOMET-XL,en-ru,vanilla,0.44786971161600964,7553,0.8937708686325285,150.25,56.34,news,2022,with_reference
Unbabel/XCOMET-XL,zh-en,2bit,0.18936225183279015,3509,0.3555312219783418,860.94,54.57,news,2022,with_reference
Unbabel/XCOMET-XL,zh-en,4bit,0.4002911912742779,4188,0.7924899561216335,514.36,87.36,news,2022,with_reference
Unbabel/XCOMET-XL,zh-en,8bit,0.3996138488819608,5604,0.7931749930869628,558.72,63.12,news,2022,with_reference
Unbabel/XCOMET-XL,zh-en,vanilla,0.3995764535232364,8169,0.7928707663572268,315.36,53.15,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,2bit,0.35899349580637335,7301,0.8332311839792463,890.42,239.23,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,3bit,0.439002773299378,7563,0.9533661337229941,1354.62,190.68,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,4bit,0.43594895819717333,8738,0.9571998161872228,1497.39,201.31,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,8bit,0.43627384175204187,13388,0.9581994798448351,1121.01,171.46,news,2022,with_reference
Unbabel/XCOMET-XXL,en-de,vanilla,0.43554496810823634,22388,0.9581827581723531,483.41,165.22,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,2bit,0.40159442934655026,7301,0.6582841239041752,875.19,184.78,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,3bit,0.4699539890068164,7552,0.8716045096980201,1353.59,172.27,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,4bit,0.47152084552346657,8728,0.882582210501035,1156.91,232.3,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,8bit,0.4708768288369738,13379,0.8817102223171128,955.87,172.97,news,2022,with_reference
Unbabel/XCOMET-XXL,en-ru,vanilla,0.4706661406056156,22377,0.881970826321178,427.23,171.4,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,2bit,0.3743024609476967,7690,0.6818418198410827,1664.22,181.31,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,3bit,0.39341261032496894,8851,0.7867168960555552,2471.16,161.85,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,4bit,0.39270475615876355,10012,0.7991834598956722,1755.71,197.26,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,8bit,0.3929376774746963,14656,0.8007071391387348,1914.35,165.39,news,2022,with_reference
Unbabel/XCOMET-XXL,zh-en,vanilla,0.39285888657718904,22041,0.8006641289936041,1010.93,160.51,news,2022,with_reference
